id;name;taggings_count;kind
0;zona;5041;
1;residente;840;
2;estacionamiento;56;
3;área;27;
4;vecino;2666;
5;calle;5457;
6;tramo;207;
7;asfaltado;94;
8;esquina;61;
9;altura;34;
10;parque;2904;
11;niño;2060;
12;columpio;247;
13;fuente;178;
14;banco;52;
15;propuesta;3498;
16;voto;807;
17;web;530;
18;página;190;
19;ciudadano;791;
20;barrio;3882;
21;vecino;0;
22;población;68;
23;año;4429;
24;mercado;20;
25;metro;2235;
26;linea;1308;
27;parada;725;
28;ascensor;238;
29;bus;111;
30;favor_propuesta;550;
31;apoyo_gracias;309;
32;recopilación;124;
33;fichero;100;
34;antigüedad;70;
35;aparcamiento;2514;
36;coche;1843;
37;parking;400;
38;residente;0;
39;plaza_aparcamiento;85;
40;acera;2129;
41;peatón;1456;
42;moto;237;
43;calzada;107;
44;silla_rueda;17;
45;animal;818;
46;mascota;593;
47;dueño;426;
48;excremento;98;
49;gato;41;
50;perro;1116;
51;dueño_perro;218;
52;dueño;0;
53;mascota;0;
54;correa;11;
55;plaza;1740;
56;residente;0;
57;parking;0;
58;plaza_aparcamiento;0;
59;fuente;0;
60;centro;2549;
61;actividad;553;
62;centro_salud;100;
63;sala;12;
64;madrid;5;
65;persona;8115;
66;año;0;
67;ayuda;2275;
68;trabajo;1314;
69;empresa;1301;
70;ciudad;4224;
71;ciudadano;65;
72;madrileño;255;
73;mundo;93;
74;contaminación;1049;
75;tráfico;1883;
76;salida;328;
77;contaminación;0;
78;atasco;53;
79;rotondo;91;
80;línea;1236;
81;línea_autobús;306;
82;recorrido;149;
83;bus;0;
84;ampliación;18;
85;árbol;1098;
86;alcorque;323;
87;sombra;236;
88;rama;91;
89;verano;38;
90;bicicleta;1385;
91;uso;1364;
92;bici;178;
93;ciclista;407;
94;;0;
95;apoyo;1132;
96;favor_propuesta;0;
97;recopilación_propuestas;229;
98;visibilidad;63;
99;enlace;4;
100;autobús;1786;
101;linea;0;
102;parada;0;
103;frecuencia;108;
104;línea_autobús;0;
105;espacio;3121;
106;actividad;0;
107;uso;0;
108;creación;177;
109;lugar;26;
110;piscina;1348;
111;polideportivo;840;
112;instalación;554;
113;deporte;210;
114;pista;55;
115;carril;1280;
116;carril_bici;847;
117;ciclista;0;
118;bici;0;
119;coche;0;
120;servicio;2312;
121;empresa;0;
122;ciudadano;0;
123;taxi;28;
124;trabajador;9;
125;vehículo;1971;
126;contaminación;0;
127;circulación;175;
128;velocidad;724;
129;medida;14;
130;acceso;2045;
131;escalera;284;
132;entrada;113;
133;rampa;54;
134;rotondo;0;
135;estación;1076;
136;tren;238;
137;ascensor;0;
138;estación_metro;52;
139;escalera;0;
140;horario;2018;
141;hora;1181;
142;día;402;
143;noche;293;
144;fin_semana;50;
145;transporte;2072;
146;uso;0;
147;tarjeta;224;
148;precio;452;
149;billete;41;
150;vivienda;1418;
151;alquiler;647;
152;precio;0;
153;piso;151;
154;impuesto;43;
155;distrito;1613;
156;creación;0;
157;población;0;
158;vecino;0;
159;habitante;10;
160;biblioteca;580;
161;libro;200;
162;sala_estudio;124;
163;estudio;61;
164;estudiante;24;
165;nombre;688;
166;cambio;282;
167;placa;134;
168;personaje;65;
169;callejero;13;
170;semáforo;1609;
171;peatón;0;
172;velocidad;0;
173;cruce;374;
174;paso_peatón;134;
175;colegio;1862;
176;niño;0;
177;hijo;284;
178;padre;160;
179;familia;58;
180;vecino;0;
181;ruido;1753;
182;contaminación;0;
183;noche;0;
184;descanso;22;
185;limpieza;1482;
186;suciedad;219;
187;basura;1264;
188;barrendero;51;
189;mantenimiento;17;
190;contenedor;1400;
191;basura;0;
192;residuo;510;
193;reciclaje;288;
194;papel;129;
195;edificio;1380;
196;fachada;319;
197;uso;0;
198;rehabilitación;82;
199;obra;90;
