proposal;usernumber;username
1;2;electrocronopio
2;9853;Marta González
3;9833;Daniel Arnau
4;701;isma
5;9866;Jose E
6;24;Jose Delga
7;9884;unodeVallecas
8;750;cesargs
9;37;inwit
10;9858;Amara
11;9860;Chita
12;1073;Hourcade
13;9882;jennyramos87
14;9871;EMORENO
15;3456;Gabriel
16;9839;silky1983
17;9882;jennyramos87
18;9871;EMORENO
19;2780;Fosforo2
20;9876;María_V
21;9891;ceciliacm
22;;
23;42;Mr. Soufflé
24;7130;Oxfam Intermon
25;9893;Lll
26;9891;ceciliacm
27;8281;No Somos Delito
28;9222;Plataforma por Comedores Escolares Ecológicos de Madrid
29;772;cirommp
30;1094;jmoreno
31;2631;garciarosuero
32;9848;Juanluis
33;9905;Manuel_Moratalaz
34;9967;yuyu
35;1369;Álvaro
36;11;Edu
37;1971;Gema
38;9835;No se cuida Madrid
39;9966;phen
40;;
41;10001;reivaj
42;9770;Gatogr10
43;5103;Dimas
44;503;drog
45;10001;reivaj
46;10009;bsfan21
47;9964;Paloma Bernal Muñoz
48;9480;Asamblea Madrid Libre de CIE
49;9921;SrPerro
50;9996;germanmadrid
51;10031;alma
52;7729;Carlos_FS
53;8129;jcms1985
54;10027;ccorredor
55;10025;demark
56;9436;nonetete
57;6056;Johny
58;10038;robert
59;6532;GRIMM
60;9509;ab
61;10018;Raúl
62;158;ABG
63;10068;Karmen Vallekas
64;531;elispower
65;9509;ab
66;;
67;7650;Su
68;37;inwit
69;1369;Álvaro
70;9989;Ignacio López
71;10098;Maroal
72;10074;Rroch
73;10075;Oscar-L
74;531;elispower
75;10130;José Manuel Garcia
76;;
77;10109;jm84
78;10133;miguel1973
79;7794;MiguelH
80;10105;Dori
81;9548;M.A.M.G.
82;7807;Luis Lorca
83;7420;YFA
84;31;Candela
85;531;elispower
86;10147;nortesalud
87;10104;Jorge28
88;10177;Carmen Atero
89;10175;AnaR
90;645;rodrigocasillas
91;639;J4ime
92;9247;BELENSAMAR
93;10161;vayiyo
94;4341;javillr
95;3309;CIUDADANO-V
96;10157;piozebi
97;10144;Joselufer
98;10151;Madrileña de Madriz
99;10122;jtallon2
100;1401;Javierfa1982
101;9247;BELENSAMAR
102;10141;CAMBIOS
103;9219;Clara Obligado
104;10138;MANUEL48
105;;
106;2104;slurg
107;1369;Álvaro
108;2832;felix sanchez
109;126;franpl82
110;10126;blerins
111;10262;MaríasZamora
112;126;franpl82
113;10175;AnaR
114;10270;sprivado
115;10233;Xosemendoza
116;10218;Lucas Jagger
117;126;franpl82
118;605;LDF87
119;1369;Álvaro
120;10253;Ruben FS
121;10254;Garciaser07
122;287;villarramblas
123;10153;fran__
124;10197;Gabriel Durán
125;10177;Carmen Atero
126;482;Carlos Díaz
127;4304;DavidSánchez
128;10141;CAMBIOS
129;10228;madridvk
130;10115;Eric
131;10291;FPM
132;10294;pelhan
133;10352;Anonim
134;10365;DavidAP
135;10389;Mdelacruz66
136;10354;Toño Pérez Peña
137;10346;Jose Caraballo
138;10369;Xiomara
139;10361;CHECHUCHIN
140;10320;Felipe Cuenca
141;9821;Pau Gómez Zurdo
142;10115;Eric
143;10437;Pepipito
144;10318;Alberto S
145;10451;JoseMar
146;10384;Alfonso_Olom
147;9483;fcasadoc
148;6082;karaka
149;10401;Don Jairo
150;6727;RAFA
151;10411;Juanjo71
152;10406;PabloGil
153;10409;Seyer
154;10395;Agustín
155;9866;Jose E
156;10439;claramarin_
157;10141;CAMBIOS
158;10390;Iskandar2
159;10503;Bolicha
160;8236;Folg
161;9721;Juan Badía
162;2631;garciarosuero
163;255;Ruy García
164;5332;Jorge Rodríguez
165;10499;Vieco7777777777
166;10540;jsagueiro
167;3042;Sebastián ReciclaBicis
168;10449;kaberage2015
169;10532;AnaG.
170;10350;Mikele
171;10547;kikeperdi
172;384;serah
173;;
174;10593;DoriLópez
175;10481;Carmen ruiz
176;2631;garciarosuero
177;10425;jose luis
178;10441;Alfons o
179;10548;elnida
180;10514;Sebastián Guillén Cobos
181;10524;Pedro Ubeda
182;625;Jolano
183;10453;Ivan F
184;552;Emparedado
185;10542;katiemorena
186;10573;Roberto
187;1716;VecinaLavapiés
188;2343;Santi Madrid
189;10595;Lya
190;10633;Guillermo Martínez Llobet
191;10458;Mayte J
192;8956;Cheldri
193;10570;Bac_
194;10700;starbuck
195;10668;Jorge Rivas
196;10620;Luis Ángel S. P.
197;10583;RafaB
198;868;Cidolfus
199;10324;Alianza por el Clima
200;10656;Simon
201;10712;andres73
202;10650;Cívico
203;1552;Flanagan_1989
204;10665;Placido Rodríguez Barrero
205;10634;hgarcia
206;10675;Laura_87
207;10684;davidgmiguez
208;9522;ANTONIO MATILLA
209;10770;joseadorado
210;8992;Elmo
211;10756;Cristinasl
212;10530;Salazar
213;10763;fgomezz
214;5981;Wallace
215;1716;VecinaLavapiés
216;4158;Rey1
217;552;Emparedado
218;10763;fgomezz
219;10802;OlgaGF
220;10775;Peaton
221;10786;cciganda
222;10696;Dabama
223;10734;clauper
224;10800;AAB
225;;
226;10787;barrigoso
227;10750;JesusB
228;10573;Roberto
229;10839;DAVIZYO
230;10307;gelo
231;5981;Wallace
232;1716;VecinaLavapiés
233;;
234;10497;TERESA GIL MADRID
235;4862;dito
236;10555;Fran Salamanca
237;10782;Ana Sánchez
238;482;Carlos Díaz
239;10768;joaquin1hurtado@gmail.com
240;10741;nachoterrier
241;10675;Laura_87
242;10755;JUAN PALMA
243;9298;Daso
244;10480;Andrés HERVÁS
245;1253;Gone
246;10905;Pablo duque osorio
247;10912;juan j. juarez blanco
248;10296;Lucía spl
249;10395;Agustín
250;10832;Emilio_Or
251;2343;Santi Madrid
252;10912;juan j. juarez blanco
253;10573;Roberto
254;10853;angel domingo
255;10901;EvaHM
256;10981;DGL
257;10948;Maria del Carmen Muñoz Algarra
258;10998;ExtremeKaos
259;9647;salmorejo
260;10573;Roberto
261;10912;juan j. juarez blanco
262;8296;bor
263;10976;Juan Luis Moreno
264;8834;Por Madrid
265;;
266;10985;caravagio48
267;11055;Clopez
268;11051;Monika
269;7398;carmenlr
270;3623;Paco Adefru
271;2277;Ganesha
272;;
273;10573;Roberto
274;9016;Critikko
275;;
276;9843;LUCHO
277;;
278;;
279;1000;Nacho0
280;9647;salmorejo
281;11080;Daniel López Rodríguez
282;10573;Roberto
283;10285;Oxxxy
284;10985;caravagio48
285;7747;lnavarro8
286;11038;Nano
287;1000;Nacho0
288;10792;PPuche
289;11123;Elenasc
290;10974;PacoG
291;7747;lnavarro8
292;11154;decideborja
293;11158;Alejandroruiz
294;11094;jcrivas
295;11154;decideborja
296;10312;PERSONA SIN HOGAR
297;10724;Nieves Ochoa
298;10985;caravagio48
299;11101;javipc
300;11129;mavazna
301;7398;carmenlr
302;7190;Hellen
303;;
304;10985;caravagio48
305;;
306;2923;Kenny
307;10840;Mcc
308;9806;JUAN LUIS
309;;
