id;name;taggings_count;kind
1;Hacienda;3;
2;medios;1645;
3;participación;2306;
4;equidad;716;
5;derechos sociales;884;
6;empleo;1551;
7;asociaciones;1505;
8;economía;2142;
9;salud;5337;
10;seguridad y emergencias;172;
11;transparencia;963;
12;sostenibilidad;322;
13;medio ambiente;3663;
14;movilidad;5508;
15;cultura;587;
16;deportes;3467;
17;Arganzuela;576;
18;Chamartín;405;
19;Hortaleza;443;
20;Puente de Vallecas;459;
21;Tetuán;382;
22;Villaverde;402;
23;Barajas;327;
24;Chamberí;400;
25;Latina;474;
26;Retiro;519;
27;Usera;407;
28;Carabanchel;551;
29;Ciudad Lineal;420;
30;Moncloa-Aravaca;422;
31;Salamanca;397;
32;Vicálvaro;334;
33;Centro;1142;
34;Fuencarral-El Pardo;422;
35;Moratalaz;352;
36;San Blas-Canillejas;434;
37;Villa de Vallecas;460;
38;derechos civles;1;
39;derechos civiles;4;
40;madrid rio;29;
41;bicicleta;94;
42;limpieza;353;
43;Vivienda;107;
44;Aluche;40;
45;basura;47;
46;civismo;65;
47;perros;144;
48;colillas;8;
49;barrios;28;
50;ruidos;18;
51;decibelios;2;
52;smartphones apps transparencia;1;
53;información;11;
54;transporte publico;70;
55;seguridad;169;
56;m30;20;
57;túneles;3;
58;SER Aparcamiento Coche;2;
59;espacio público;36;
60;accesibilidad;169;
61;aceras;138;
62;peatones;49;
63;motos;19;
64;SER;76;
65;Aparcamiento;211;
66;Coche;24;
67;Contaminación transporte publico;4;
68;semana de la movilidad;1;
69;europa;3;
70;suciedad;42;
71;recursos públicos;1;
72;publicidad;34;
73;"medio ambiente"" ""Madrid"" ""pintadas";1;
74;NIE EXTRANJEROS;1;
75;metro;188;
76;Vista Alegre;2;
77;bicicletas;40;
78;educacion;46;
79;ciudadano;1;
80;cañada real;3;
81;inseguridad;5;
82;ola de robos;1;
83;SAN BLAS;22;
84;VALLECAS;43;
85;ENTREVIAS;7;
86;BIENESTAR SOCIAL;3;
88;cacas;14;
89;desechos;1;
90;residuos;52;
91;Alumbrado publico energia cinetica energ;1;
92;tráfico;160;
93;transporte;369;
95;deporte;68;
96;polideportivo;43;
97;distrito;15;
98;canal;2;
99;golf;2;
100;atletismo;7;
101;instalaciones;6;
102;vallehermoso;4;
104;Universidad;18;
105;Complutense;2;
106;Educación;363;
107;turismo de borrachera;2;
108;ruido nocturno;3;
109;jaleo nocturno;1;
110;asfaltado;28;
111;parques;122;
112;agua;26;
113;Mascotas;60;
114;Razas peligrosas de perros;2;
115;Salud Publica.;9;
116;biblioteca;64;
117;Barrio del Pilar;16;
118;lectura;7;
119;mayores;41;
120;fomento;1;
121;Bankia;1;
122;Caja Madrid;1;
123;Pilar;3;
124;seguridad vial;71;
125;moto;7;
126;parque;59;
127;velocidad;11;
128;debate;7;
129;pérdida de tiempo;1;
130;menos propaganda;1;
131;Suciedad basura orines limpieza de calle;6;
132;animales;107;
133;razas peligrosas;1;
134;igualdad de género;7;
135;Música;55;
136;Ocio y Tiempo Libre;13;
137;Las Tablas;76;
138;Montecarmelo;20;
139;bus;25;
140;bici;69;
141;cercanías;16;
142;juventud;50;
143;alcohol;12;
144;Ciclismo;9;
145;carril bici;146;
146;vías ciclistas;3;
147;carreteras;9;
148;Madrid;154;
149;salud sanidad educación servicios social;2;
150;Transporte público;166;
151;Metro de Madrid;15;
152;Comunidad;7;
153;Consorcio de Transportes;3;
154;consumo de alcohol;1;
155;multas por alcohol;3;
156;consumo de alcohol en vía pública;1;
157;ley antibotellón;2;
158;multas excesivas;1;
159;proporcionalidad en los importes;1;
160;Salud Pública;12;
165;museos;13;
166;arte;43;
167;Méndez Alvaro;3;
168;Pacífico;5;
169;Parque Tierno Galván;3;
170;Legazpi;9;
171;Metales;2;
172;acceso peatonal;8;
173;urbanismo;9156;
174;Colaboración ciudadana;3;
175;alquiler;20;
176;Ayudas al alquiler;1;
178;ensanche de vallecas;46;
179;Abono transporte;9;
180;farolas;10;
181;Puerta del Sol;12;
183;BiciMad;90;
184;Tirso de Molina;5;
185;Rastro;3;
186;Salubridad;9;
187;el rastro;3;
188;contratas;1;
189;Lavapiés;16;
190;Urbanismo y vivienda;3;
191;Gentrificación;12;
192;Turismo;126;
193;gobierno;4;
194;propuestas;14;
195;Accesibilidad universal;12;
196;Inteligencia Emocional;2;
